,NAME,AMP,AMP_Cov,MU,MU_Cov,SIGMA,SIGMA_Cov,Y_SHIFT,SHIFT_Cov,CHI_squared,P_VALUE,Error_Amp,Error_Mu,Error_Sigma,Error_Shift
0,LAT_141222.txt,0.8415848620635124,0.07480922499574365,0.5315352022972479,0.1051612584047345,0.5257324309289237,0.05746855434070584,0.1608246085210483,0.003028698883971842,20.29227108990275,1.0,8.88908871439491,19.78443910210215,10.93114119651395,1.8832310004195996
1,LAT_110721.txt,1.022173513845398,0.00785019905692399,0.32909357263114103,0.006801693767765686,0.6195307064842716,0.005491202244252818,0.0174956302812489,0.0002870212339488137,1.6542537101379233,1.0,0.7679908499479393,2.066796295468599,0.8863486808288215,1.6405309745052814
2,LAT_120709.txt,0.7137683354371873,0.09858167253386707,0.5650070559332177,0.14068544384328624,0.5870703472668818,0.0901571437112167,0.20536293414939386,0.003946969115177229,26.980456299411834,1.0,13.811438199130144,24.899767598639492,15.357127835010772,1.921948150733937
3,LAT_080916.txt,0.9322110023709653,0.023425935583198748,5.544391858261447,0.03213056265384691,1.1072517656225795,0.032137332172943456,0.029073342769493433,0.0010992760589028524,13.69374276545457,1.0,2.5129434777767834,0.5795146424575062,2.9024412668128328,3.781044607145482
4,LAT_121225.txt,0.8477067524400935,0.10424717146675311,17.681316721731736,0.10846456492405773,0.568112498530687,0.08499560774066119,0.1931921805018473,0.003436938119885446,21.746466099698296,1.0,12.297551148045164,0.6134416719697476,14.961052249419943,1.7790254817547244
5,LAT_130427.txt,0.7460565004935892,0.026224843194748316,8.904250916149861,0.0885344332765891,2.1836982503592397,0.08882514467907814,0.08525478129483917,0.0017347548619605212,11.557425793646644,1.0,3.515128301596196,0.9942940075510674,4.0676473805144795,2.0347889415857705
6,LAT_151006.txt,0.8151807552101806,0.033720659939362845,1.2074675555929262,0.08937382068792302,1.8730250008707428,0.08962488267693966,0.1204037512613661,0.0020632366542521503,11.951716738998515,1.0,4.136586851914646,7.401757527475433,4.785033976336372,1.7135983161964656
7,LAT_090510.txt,1.1817623235033266,0.025620230373161516,0.9062220962216877,0.009646718550025348,0.6160082461538715,0.017025440470143583,0.01809451970030466,0.0005693365805233178,4.130930578374213,1.0,2.167968115383008,1.0644982714773144,2.763833207825408,3.146458651310495
8,LAT_100116.txt,0.8575228596873737,0.027300515707786247,93.05144731543031,0.05886303148563138,1.6026100583761573,0.05900419955486349,0.10723007337419915,0.0015434724238782007,7.630541512982449,1.0,3.183648738849851,0.06325858778541577,3.681756472603786,1.439402562462089
9,LAT_120328.txt,0.745608695119515,0.0916936074096535,5.510393887208066,0.13382601172671776,0.9311661077296907,0.13079058791883855,0.2202260067875087,0.0039775127754737806,25.468023111017494,1.0,12.297818951126336,2.428610630492024,14.045892224076297,1.8061049344238422
10,LAT_131014.txt,1.256353710047183,0.30363130622145973,1.84393170407047,0.06875804940053257,0.45118883348856764,0.09758283195950748,0.06086547131664643,0.0012990671211898692,9.856145572044232,1.0,24.16766104905733,3.728882650520598,21.62793595865445,2.1343252472844654
11,LAT_140102.txt,0.7888331710571944,0.07643603052715102,3.2700404054798535,0.10238069128107291,0.9132746004727227,0.10211237267174549,0.19589726259276463,0.003258201182712113,19.176401915299152,1.0,9.689758662748858,3.130869303923764,11.180905788783658,1.6632193526283878
